mssv,dtb_toankhoa,dtb_tichluy,sotc_tichluy
D15AF9D2XPvAibaEXe/agc6/owW5CCEx4CPDleFb,7.6,7.6,148
89D586F5XPvAibaEXe/HQN1XeSL1BEMXBfk6KF/O,6.94,6.94,142
FED40161XPvAibaEXe/HQN1XeSL1BMtMCujx8fTx,7.33,7.43,141
C663E314XPvAibaEXe/HQN1XeSL1BKv/LohqQ+0J,7.14,7.14,156
43785D1EXPvAibaEXe/HQN1XeSL1BC0VidWxITbL,2.58,7.07,7
7EF6A3EAXPvAibaEXe/HQN1XeSL1BEWlvhARqyCL,8.47,8.47,152
CB17F8F5XPvAibaEXe+3sZoWnetaj3mUhX0PKRMe,6.57,6.57,153
ADC5F05DXPvAibaEXe+3sZoWnetajz661V0/hMR1,7.02,7.09,144
08182AD5XPvAibaEXe+3sZoWnetaj2dDhEcMJno9,7.06,7.06,149
5B8D44C7XPvAibaEXe+3sZoWnetaj5PDXb16ueWC,7.06,7.06,153
630518E0XPvAibaEXe8UGNMJasZG8BIILT9LfCMb,7.43,7.43,154
5B4A6DFBXPvAibaEXe8UGNMJasZG8Ewtb9AA64WW,6.54,7.52,134
9AFD5C84XPvAibaEXe//Z7+CGDQLoHD+WJYS0Uvi,5.46,6.68,96
1A0E0558XPvAibaEXe9xkK/YA3rY8FFX85Uop5YB,6.57,7.09,144
A56A2ECBXPvAibaEXe9xkK/YA3rY8PRNWpizshot,7.1,7.1,144
6E594582XPvAibaEXe9xkK/YA3rY8BuIyh8QfoMS,7.46,7.73,152
1E43797CXPvAibaEXe/81GDNmtxKsQIri7NYICsC,4.35,6.12,76
3788C7A4XPvAibaEXe/81GDNmtxKsfT2ovFuIAkG,0.92,0,0
6EF53EE6XPvAibaEXe/81GDNmtxKsWKpNmvVkP+G,7.82,7.82,152
D4BC6C5FXPvAibaEXe/81GDNmtxKsf5uAQitOS6/,7.01,7.01,148
FBE9AA5AXPvAibaEXe87qJpUsO6V7cleB72s2edm,7.44,7.44,156
5A9F64D1XPvAibaEXe87qJpUsO6V7TZk2T/CAsg6,8.31,8.31,148
EE6BEA20XPvAibaEXe87qJpUsO6V7Q5qVfwmgf40,8.29,8.29,13
D61A8FA6XPvAibaEXe8JRliMuqssCFM/cB1ttK5H,8.05,8.05,144
D6325697XPvAibaEXe8JRliMuqssCDQkwlJOqjq0,7.71,7.71,147
B5C2A1C5XPvAibaEXe8JRliMuqssCAeqW+vA6u8X,2.93,7,5
C2BFCFE6XPvAibaEXe/t7ClCI88v7vvMyl2ysdwy,7.26,7.26,148
A6C20BC5XPvAibaEXe/t7ClCI88v7hJMKVISSTxm,3.4,7.32,18
32180497XPvAibaEXe/t7ClCI88v7sGEqCvtpJrq,6.63,6.75,148
DD4EFA9CXPvAibaEXe/t7ClCI88v7mCBtTA3bz+f,8.93,8.93,141
14475A56XPvAibaEXe9S6E9ioiUfBOgN9jbGjj20,6.75,6.75,148
21A44321XPvAibaEXe9S6E9ioiUfBDPj01WaWxc1,7.91,7.91,140
591A9AADXPvAibaEXe9S6E9ioiUfBK9MVMlLs9L0,7.34,7.34,154
07F0B649XPvAibaEXe9S6E9ioiUfBGwa4H6CUbKK,6.67,7.39,109
1ABBE1BBXPvAibaEXe9S6E9ioiUfBGiyTmQYHGjq,7.41,7.41,148
C0CA4964XPvAibaEXe+Y2Dmraxe1iXZJvq0Bdzle,7.98,7.98,148
D3F4026DXPvAibaEXe+Y2Dmraxe1iZJc8pjBdEJI,7.51,7.74,144
45C1AE02XPvAibaEXe+Y2Dmraxe1iZRzEs93KNw/,7.61,7.61,154
DC510789XPvAibaEXe+GHNK19bpqC6fiDr/IfEBw,8,8,152
40477DF3XPvAibaEXe+GHNK19bpqCw8XUzH8lpyj,6.8,6.8,151
8DF80DC7XPvAibaEXe+GHNK19bpqC2HzcxrGb6J1,6.82,6.82,149
BC23DA17XPvAibaEXe+GHNK19bpqCyPAUx4pm9RJ,6.72,6.79,142
CFAD9912XPvAibaEXe+GHNK19bpqC27N8KsncB+D,6.97,6.97,155
9C9DF586XPvAibaEXe+GHNK19bpqC+R86WCu45mt,6.83,7.08,153
7933EDCBXPvAibaEXe+tKwu+Ol4th1CASAT7HNg8,8.66,8.66,141
20EA5161XPvAibaEXe+tKwu+Ol4th4lHuNksf8Ew,8.32,8.32,148
382011DDXPvAibaEXe+tKwu+Ol4th1ivtsIPFk30,7.49,7.59,144
344BD86EXPvAibaEXe90ZzX2oanjjg/JQe7r0lf5,0,0,0
9C88C20AXPvAibaEXe90ZzX2oanjjvdFX8RLhtBI,6.77,6.86,148
4F4FA085XPvAibaEXe8lzySxhHiT0QWlfALc1aFD,6.44,6.55,149
77611815XPvAibaEXe8lzySxhHiT0dS9w57k39qB,7.5,7.54,153
62BFFE2EXPvAibaEXe/9ugxkUZcLfPe37BSUxSyd,5.63,7.12,97
A830FA6EXPvAibaEXe/9ugxkUZcLfOCCe0d2Y2i+,7.63,7.63,153
5B43BFC8XPvAibaEXe/9ugxkUZcLfFd6KWqUBYnv,6.79,6.79,138
816B09EDXPvAibaEXe/9ugxkUZcLfCsP2F+g822+,6.56,6.64,149
7C573785XPvAibaEXe8OLQLlidG6/2J/+3f4eaLt,6.29,6.71,136
78347B4EXPvAibaEXe8OLQLlidG6/64lqBZl8N/e,7.38,7.38,156
0E184853XPvAibaEXe8OLQLlidG6/6DACqDoin5w,6.27,6.91,128
F26FD744XPvAibaEXe8OLQLlidG6//6ShwJ1wZku,4.98,7.54,25
AFD7F061XPvAibaEXe8OLQLlidG6/6iYnKPHh3U3,7.25,7.36,143
87A1FCAFXPvAibaEXe8OLQLlidG6/2sMV923FD85,6.1,6.41,132
3237312AXPvAibaEXe9BgVwdGgzpaWPBzMunWFH4,7.47,7.47,152
6695C814XPvAibaEXe9BgVwdGgzpaWghu9fyLWIp,8.15,8.15,155
513CB68EXPvAibaEXe9BgVwdGgzpaS0cp9yc6F5r,6.16,6.74,139
F5673015XPvAibaEXe86jqvsmOoL9gz0xQ3iVB/D,7.21,7.21,151
AEB28933XPvAibaEXe86jqvsmOoL9iHMp/2aXaxQ,6.26,7.03,139
F2E08BFBXPvAibaEXe86jqvsmOoL9oGDUv7q0lsr,7.78,7.78,157
9C31DE00XPvAibaEXe86jqvsmOoL9hEq1ka1r7+d,6.67,6.67,147
B5A5645EXPvAibaEXe95t7IdlkoVf/AQqVZIBtH0,6.7,7.25,143
30D3E6E7XPvAibaEXe8Ve7JqRML75bS5tHExQQga,7.3,7.3,148
5496C0BBXPvAibaEXe8Ve7JqRML75VSrneiFXwvT,7.2,7.2,146
3126A55BXPvAibaEXe8Ve7JqRML75QoATwEngbtB,7.06,7.24,158
7D4060BBXPvAibaEXe8Ve7JqRML75f60sgal9POH,7.79,7.79,153
942D302DXPvAibaEXe9eYPx3anXXhP4CDh9NTvBT,7.34,7.34,144
D6527C3BXPvAibaEXe9eYPx3anXXhH8it6AZlLzp,6.48,6.93,146
BA45B4ADXPvAibaEXe92Jin2iMtHCpfdO6SqQlLh,7.58,7.58,155
3670B2F3XPvAibaEXe92Jin2iMtHCooAV2Og/xCx,6.83,6.89,147
7948AD02XPvAibaEXe92Jin2iMtHCrp7po4Dxg3m,8.4,8.4,148
3B36303EXPvAibaEXe92Jin2iMtHCuWTyMGfWwjT,6.78,6.78,152
192E4235XPvAibaEXe92Jin2iMtHChKANAao8ZUk,7.84,7.84,144
5F015460XPvAibaEXe/5h0vZw0NHL3rTJlBbR6W0,7.46,7.46,141
77AA22BDXPvAibaEXe/5h0vZw0NHLw1SiBz29uk2,7.48,7.48,141
15A91E53XPvAibaEXe/5h0vZw0NHL5mM+K0Tj6RE,7.82,7.82,153
E696D0B0XPvAibaEXe/5h0vZw0NHLzJFwI9xi1Oh,7.48,7.48,153
330A20C4XPvAibaEXe+n4oL3iuTqC+0PyxPF31kr,4.19,6.56,48
77975167XPvAibaEXe/pS44gx8Fm9v9+sdp2PraC,7.56,7.56,158
56535DAEXPvAibaEXe/pS44gx8Fm9j1XdP/cQelm,7.48,7.62,154
570FE49BXPvAibaEXe/pS44gx8Fm9tS8RaIhlkx8,6.96,6.98,160
7CF624C3XPvAibaEXe/pS44gx8Fm9lnr2OshV+zO,8.5,8.5,141
65166AE0XPvAibaEXe8K9VKm2afHLeT+RoPJaoP5,5.78,6.84,123
