mssv,sotc_hk1,sotc_hk2,sotc_hk3,sotc_hk4,sotc_hk5,sotc_hk6,sotc_hk7,sotc_hk8,sotc_hk9,sotc_hk10,sotc_hk11,sotc_hk12,sotc_hk13,sotc_hk14,sotc_hk15,sotc_hk16,sotc_hk17,sotc_hk18,sotc_hk19,sotc_hk20,sotc_hk21,sotc_hk22
014C9CD2XPvAibaEXe86mMJZ3W/SqWMe8Rep30Oj,22,19.0,23.0,,,,,,,,,,,,,,,,,,,
0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN,15,19.0,23.0,24.0,19.0,17.0,18.0,9.0,14.0,,,,,,,,,,,,,
0154E43EXPvAibaEXe9Zf5/2ioDjyXvhb/ezd6g0,18,,,,,,,,,,,,,,,,,,,,,
0155D7F9XPvAibaEXe+RaLErOlzghWNFVX9jT8kn,17,21.0,19.0,18.0,20.0,17.0,19.0,10.0,,,,,,,,,,,,,,
015A05A2XPvAibaEXe8m7ybKj0ITr5RhFEliAdw/,21,23.0,24.0,28.0,,,,,,,,,,,,,,,,,,
01641A90XPvAibaEXe9dgf/EzU6ZBXaquO6JqsV8,17,18.0,,,,,,,,,,,,,,,,,,,,
016AB880XPvAibaEXe9lVlYxgSyBv8bGU/pM3AL/,16,23.0,0.0,23.0,7.0,18.0,,,,,,,,,,,,,,,,
01728002XPvAibaEXe/aKtNDHjDg7XzAUeuYwUoZ,21,23.0,20.0,,,,,,,,,,,,,,,,,,,
01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK,15,19.0,19.0,24.0,21.0,14.0,8.0,,,,,,,,,,,,,,,
017984E0XPvAibaEXe9aMAyZdkMMW6R7RAHjUUsD,22,19.0,19.0,,,,,,,,,,,,,,,,,,,
017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko,19,17.0,19.0,15.0,8.0,17.0,12.0,,,,,,,,,,,,,,,
017F628AXPvAibaEXe+5v7/2krOwGMehPffqHTAK,15,17.0,20.0,21.0,8.0,14.0,,,,,,,,,,,,,,,,
018688CAXPvAibaEXe96Y2OKPPTIZMPEXLKYzr8N,16,19.0,17.0,,,,,,,,,,,,,,,,,,,
