id,mssv,ngaythi,url,loaixn,url_1,loaixn_2,listening,speaking,reading,writing,tongdiem,lydo,trangthai,ngayxl
328.0,F1AE6A7DXPvAibaEXe+pDN88/1DR4GQG2cn+o/MP, '2018-09-08', 'bangcap/14520121/14520121_bangcap_VNU-EPT_20180926095456.png', 'VNU-EPT',,,,,, '',1, '',1, '2018-09-27 14:40:33'
330.0,F04DAB48XPvAibaEXe+oo0hccQuSuF2V98IwNKVT, '2016-12-03', 'bangcap/18520428/18520428_bangcap_IELTS_20180928162801.jpg', 'IELTS',,,,,, '',1, '',1, '2018-10-29 15:08:14'
331.0,40E3DED7XPvAibaEXe8cSwcDAK/pUDQbys/Ydwoj, '2018-09-29', 'bangcap/17521190/17521190_bangcap_TOEIC_LR_20180929072339.jpg', 'TOEIC_LR',235.0,,235.0,,225.0, '',1, '',1, '2018-11-02 14:21:49'
335.0,693BF40CXPvAibaEXe+PAOVcd+LnOYY2k3crUSnI, '2018-05-24', 'bangcap/15520056/15520056_bangcap_TOEIC_LR_20181002135856.jpg', 'TOEIC_LR',470.0,,470.0,,400.0, '',1, '',1, '2018-11-02 14:21:29'
336.0,50A2E077XPvAibaEXe9ej2kTw4OUmiUdIEhAtHG5,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/14520002/14520002_chungchi_IELTS_20181002140547.jpg', 'IELTS',,,,,, '',1, '',1, '2018-10-02 14:06:26'
337.0,05BE3C4FXPvAibaEXe9j81k8MH0oJwyKQAP8FKms,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/14520589/14520589_chungchi_IELTS_20181002140608.jpg', 'IELTS',,,,,, '',1, '',1, '2018-10-02 14:28:37'
338.0,00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/15520505/15520505_chungchi_NHAT_20181008095214.jpg', 'NHAT',,,,,, 'SV đạt chuẩn đầu ra',1, 'SV đạt chuẩn đầu ra',1, '2018-12-05 08:47:03'
339.0,2FCD54FBXPvAibaEXe8IGiiWauHvTA2iWNEDvSOo,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520467/17520467_chungchi_TOEIC_LR_20181022151811.jpg', 'TOEIC_LR',350.0,,350.0,,335.0, '',1, '',1, '2018-11-02 14:21:16'
340.0,5EBCE8B3XPvAibaEXe8aLAPPdCF+ac42AZO6+cEi,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520394/17520394_chungchi_TOEIC_LR_20181022151844.jpg', 'TOEIC_LR',325.0,,325.0,,360.0, '',1, '',1, '2018-11-02 14:21:06'
341.0,D4F6703AXPvAibaEXe/ceziXFRXnLWAzwrYXBrk+,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520621/17520621_chungchi_TOEIC_LR_20181023135218.jpg', 'TOEIC_LR',400.0,,400.0,,365.0, '',1, '',1, '2018-11-02 14:20:53'
346.0,1CE4CDB2XPvAibaEXe8ge2UHv4J4ByS1Gt3OtWsA, '2018-06-10', 'bangcap/13520038/13520038_bangcap_TOEIC_LR_20181027162155.jpg', 'TOEIC_LR',280.0,,280.0,,285.0, '',1, '',1, '2018-12-10 09:24:30'
347.0,8B75E939XPvAibaEXe9o/lUQXb5f/9EzN7Db7CwN, '2016-06-14', 'bangcap/14520316/14520316_bangcap_IELTS_20181028093556.jpg', 'IELTS',,,,,, '',1, '',1, '2018-10-29 15:10:26'
350.0,8066FACDXPvAibaEXe+vL6q6thZ0NqMsVHCr8Wd5, '2018-10-19', 'bangcap/13520708/13520708_bangcap_TOEIC_LR_20181030113023.jpg', 'TOEIC_LR',250.0,,250.0,,260.0, '',1, '',1, '2018-12-10 09:24:06'
353.0,0A69D9BBXPvAibaEXe/yTqQKv0UsdQB4zgad4eTm, '2018-10-06', 'bangcap/18520265/18520265_bangcap_TOEIC_LR_20181031144837.jpg', 'TOEIC_LR',270.0,,270.0,,280.0, '',1, '',1, '2018-12-10 09:24:51'
354.0,7A1F2FCBXPvAibaEXe+XOEV1VJ5O21IUFe2koBmI, '2018-10-06', 'bangcap/17521049/17521049_bangcap_TOEIC_LR_20181031203648.jpg', 'TOEIC_LR',275.0,,275.0,,285.0, '',1, '',1, '2018-12-10 09:24:41'
356.0,39214D01XPvAibaEXe+zCbAzes7YitnRNWgiyH/F, '2018-10-11', 'bangcap/15520481/15520481_bangcap_IELTS_20181102184317.jpg', 'IELTS',,,,,, '',1, '',1, '2018-12-27 10:57:42'
359.0,CF73DD3CXPvAibaEXe/9n4RXguPAYNhPkL6cwTol, '2018-04-17', 'bangcap/14520743/14520743_bangcap_VNU-EPT_20181103111928.jpg', 'VNU-EPT',,,,,, '',1, '',1, '2019-01-23 15:20:54'
