mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
0274C264XPvAibaEXe91UcttbrYag2jklAZJMb7s, KHCL2018,,,,,,,,,,,,,,
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr, HTCL2017,,,,,,,,,,,,,,
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB, CNTT2017,,,,,,,,,,,,,,
029FF400XPvAibaEXe/CDMtnBauOUI3KOirhtT3a, CTTT2018,,,,,,,,,,,,,,
02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl, HTTT2017,,,,,,,,,,,,,,
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo, HTCL2016,,,,,,,,,,,,,,
02BF7901XPvAibaEXe81w9eVvyp+l/OBpi+Ps6nu, KTPM2015,,,,,,,,,,,,,,
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN, ,,87.0,96.0,100.0,,,,,,,,,,
02D11BA0XPvAibaEXe/twT+sf632fV68MOhuBLMU, TMĐT2019,,,,,,,,,,,,,,
02D9A220XPvAibaEXe+KnWgScvZ27LP2iqB5e3NW, KHCL2019,,,,,,,,,,,,,,
02F183F0XPvAibaEXe/kJUgsv26Ua01LZ73bPyUY, HTTT2014,90.0,,,,,,,,,,,,,
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu, ,,48.0,54.0,,,,,,,,,,,
02FAB066XPvAibaEXe+P3P+fEFRIWPj6XPfklz7k, ATTN2019,,,,,,,,,,,,,,
030AB9A8XPvAibaEXe+PYhTHWVfmAnz8waNlDG/x, HTCL2019,,,,,,,,,,,,,,
030FC1CFXPvAibaEXe+9lRniSKKSh3iBkTOiNqQs, CTTT2014,86.0,68.0,,,,,,,,,,,,
032009DBXPvAibaEXe8hLNatuVCg+bidSLDlKFer, HTTT2014,80.0,,,,,,,,,,,,,
0330BA3CXPvAibaEXe8Z5hiNBvM0RW96I9r3cKzN, TMĐT2019,,,,,,,,,,,,,,
0336A8FDXPvAibaEXe97q47CdxnNZKAUu5+2jDyf, KHMT2014,85.0,,,,,,,,,,,,,
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw, PMCL2017,,,,,,,,,,,,,,
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8, KHMT2015,,,,,,,,,,,,,,
0356BA29XPvAibaEXe/i44g6992J04DlKo1DQNSP, HTTT2019,,,,,,,,,,,,,,
035AEF81XPvAibaEXe/y2t7DVG8TDXVGQmvbKE12, KHMT2014,80.0,,,,,,,,,,,,,
0368E395XPvAibaEXe8Hc2wHUxgky4xlonemdAzO, MTCL2019,,,,,,,,,,,,,,
