mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
0259620BXPvAibaEXe8qdDDDT8MR9ERf8n5O1hdo,KTPM2022,95,,,,,,,,,,,,,
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI,MMTT2019,90,85,88,96,77,82,66,,,,,,,
0268144BXPvAibaEXe/1bsgFpjh4Axad4rWmHEhg,HTTT06,67,67,82,92,93,100,80,72,47,,,,,
026901D0XPvAibaEXe9RgBB1buf8AThNc5bHTWxc,MMT04,57,57,77,74,83,80,,,,,,,,
0269665FXPvAibaEXe+kufBIlPDTdTr7u196rxex,KTMT06,52,52,60,74,41,18,-12,,,,,,,
0269D0CEXPvAibaEXe9Z67almz7y5nIpJrijnwIg,,70,71,67,66,51,51,37,55,57,55,,,,
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,PMCL2017,65,85,80,79,66,80,45,71,66,58,,,,
02742628XPvAibaEXe+R1vbMbxqswIQR7pz52Lxo,,100,92,100,87,92,81,72,44,15,,,,,
0274C264XPvAibaEXe91UcttbrYag2jklAZJMb7s,KHCL2018,90,74,,,,,,,,,,,,
0276AF24XPvAibaEXe+P6ANPv7WJSifs0fDSZUbt,MMT03,64,,,,,,,,,,,,,
0276C28DXPvAibaEXe92DIzGarcXxFtmAWFTKF/F,HTTT2020,100,100,100,100,100,,,,,,,,,
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr,HTCL2017,78,90,81,80,80,94,79,82,74,70,58,,,
028D6AC2XPvAibaEXe+fVcdDb6HkTUQErQVI0D0k,,55,40,,,,,,,,,,,,
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB,CNTT2017,90,90,90,90,98,100,100,74,66,66,,,,
0297636CXPvAibaEXe/Y1PO/lU15oolJyNB8jIGQ,KTMT04,50,50,83,83,83,64,,,,,,,,
029F830DXPvAibaEXe/2X6aOdUt4J51IQ9VxbP3E,HTTT05,0,59,59,100,100,100,82,100,100,,,,,
029FF400XPvAibaEXe/CDMtnBauOUI3KOirhtT3a,CTTT2018,99,90,91,79,82,84,91,100,73,,,,,
02A23754XPvAibaEXe+0+eVMEKBIVfxwPdSMmY5U,ATTT2022,88,,,,,,,,,,,,,
02A2AE13XPvAibaEXe8FNnc+c+WuJK7wR2tq8jV9,MTIO2020,90,100,100,100,78,,,,,,,,,
